Sample,mean
Sample10,90.6
Sample10,89
Sample10,89
Sample10,89.7
Sample10,91.5
Sample10,89.4
Sample10,86.9
Sample10,89.2
Sample10,89.7
Sample10,91.8
Sample10,88.7
Sample10,88.2
Sample10,87.11
Sample10,91.2
Sample10,91.2
Sample10,87.6
Sample10,88.9
Sample10,91.3
Sample10,88.7
Sample10,90.4
Sample10,89
Sample10,90.6
Sample10,90
Sample10,91.9
Sample10,89.3
Sample10,91.3
Sample10,89.6
Sample10,89
Sample10,88.1
Sample10,89.5
Sample10,91.8
Sample10,89.7
Sample10,88.4
Sample10,87.8
Sample10,90.1
Sample10,89.6
Sample10,89.6
Sample10,90.7
Sample10,89.6
Sample10,90.7
Sample1000,89.9
Sample1000,90
Sample1000,90.2
Sample1000,90.1
Sample1000,89.7
Sample1000,89.8
Sample1000,90
Sample1000,89.9
Sample1000,89.7
Sample1000,89.8
Sample1000,90.1
Sample1000,89.8
Sample1000,90
Sample1000,90
Sample1000,89.9
Sample1000,90
Sample1000,90
Sample1000,90
Sample1000,89.8
Sample1000,89.9
Sample1000,89.8
Sample1000,89.9
Sample1000,89.6
